678; Vas’kankor’b; участок
679; Ivšun’üut; покос
680; Černeckiig’är’f; озеро
681; Лявгуба; залив
682; Turžin; деревня
683; Маковские поляны; поле
684; Комель; угодье
685; Узкая Сельга; угодье
686; Юршинский ручей; ручей
687; Погост; деревня
688; Подгорна поляна; угодье
689; Узкие Нивы; угодье
690; Bojarienkaivot; колодец
691; Горные поляны; угодье
692; Sokes’k; поле
693; Вичуринское поле; угодье
694; Харин Мох; болото
695; Петровский остров; остров
696; Боровая река; река
697; Борок; угодье
698; Вицейгуба; залив
699; Tanhansohut; болото
700; Semoopuustso; болото
701; Mustg’är’v; озеро
703; Čuroja; ручей
704; Stepanzapol’k; урочище
705; Pustad; поле
707; Kopso; болото
708; Lumbahkoja; ручей
709; Kohtumägi; неизвестно
710; N’okankujo; прогон
711; Середка; угодье
712; S’eptang’ögi; река
713; Vaadim; урочище
714; Vaahtadpeskud; урочище
715; Остонкины Сельги; угодье
716; Mikšahn’emel’n’ic; участок
717; Лазнаволок; угодье
718; K’el’ujann’iit; покос
721; Варисельга; угодье
723; Kul’jakso; болото
724; L’edol’ižedpeedod; поле
725; Čikjär’v; озеро
726; Lukinjärvi; озеро
727; D’ondarand; участок
728; Ивановщина; угодье
729; Natkammägi; гора
730; Kanaaoja; ручей
731; Есино; неизвестно
732; Savihaudu; яма
733; Hil’l’ar’(v)so; болото
734; Под березняком; угодье
735; Сухой Наволок; угодье
736; У Ключев; угодье
737; Akankivi; камень
739; Каменица; угодье
740; Platomoja; ручей
741; Зимницкий Мох; болото
742; Стяговнаволок; мыс
743; Кузнечное поле; угодье
744; Lўhtojansildu; мост
745; Jovenšuarat; река
746; Кибручей; ручей
747; Кулаткино; урочище
748; Гарасельга; угодье
749; Sarz’et; урочище
750; Пырейнаволок; мыс
751; Suuri Čuurulambi; озеро
752; Песочница; неизвестно
753; Шминевские пожни; угодье
754; Oleksienkaivo; колодец
755; Глубокая Ямка; тоня
756; Madasar; урочище
757; Лучинов бор; лес
758; Высокая Щельга; гора
759; Alan’edärvi; озеро
760; Студенец; угодье
761; Natk; покос
762; Pešahn’emel’nic; участок
763; Pehkoijär’v; озеро
764; Мунозеро; озеро
765; Školanaidu; угодье
766; Истелецкое поле; угодье
767; Virinskim’ägi; участок
768; Половина; река
769; L’evahts; покос
770; Пепельный бор; лес
771; Колодечница; угодье
772; Усоки; угодье
773; Zapol’kat; поле
775; На Борку Большая полоса; угодье
776; N’uš; река
778; Горское поле; угодье
779; Щерида; угодье
780; Papin’em’i; покос
781; Čikoja; участок
782; Евтиковщина; угодье
783; Вянчостров; остров
785; Сраный остров; остров
787; Haabišt; урочище
788; Задний Бор; лес
789; Kur’goja; ручей
790; Brot’t’e; дорога
791; Kondud; покос
792; Plotin; урочище
793; Березовец; остров
794; Poh’g’ätomg’ärvut; озеро
795; Керака; озеро
796; Šigoilt’e; дорога
797; Mathišt; покос
798; Лицевой Обод; угодье
799; Мхи; угодье
800; Pankoisel’g; поле
801; Лепайгуба; залив
802; Надтоней; угодье
803; Замостье; залив
804; Savanfutor; хутор
805; Pit’kmägi; гора
806; Katkazg’är’v; озеро
807; Kondiso; болото
808; О Мхи; угодье
809; Šelišso; болото
810; Кузарандская луда; луда
811; Tišagiankoht; поле
812; Загубский ручей; река
813; Kannaksenmägi; неизвестно
814; Бабнаволок; мыс
815; Markutan; деревня
816; Laht; деревня
817; Шошина поляна; угодье
818; Hebombong; омут
819; Portomoja; река
821; Sur’kivi; покос
822; Savip’üud; поле
823; Ontond’äd’änkaiv; колодец
824; Juakoinkodi; дом
826; Сибовская матка; остров
827; Ражье поле; угодье
829; Kindasso; покос
830; Määt’jär’v; озеро
831; Hondkor’b; урочище
832; Келеги; угодье
833; Bonk; омут
835; Viloja; ручей
836; Ужная поляна; неизвестно
837; Сельга; урочище
838; Pičuin’e sepatg’är’v; озеро
840; Царево; деревня
841; Kurčanlambi; озеро
842; Щельга; берег
843; Бабнаволок; угодье
844; Sel’l’anpiä; угодье
845; Нюкручей; ручей
846; Kodar’vso; болото
847; Vastoja; ручей
848; Mit’unvalgamo; озеро
849; Ars’anfutor; хутор
850; Riihikujo; прогон
851; Лучинов Бор; угодье
